learning_path,module,sub_module,context,duration_in_minutes,user_feedback
"Data Modeller, Full Path Finisher",Data Science Basics (Data Preparation),Classroom - Python Intro,"This hands-on trainer-led session is designed to showcase python language and teach participants to code using python themselves on Databricks. We cover all the basics, from assignments, variables, data types, operations with variables, libraries etc All non-classsroom sub_modules of data science basics are a prerequite for users to be eligible for the classroom",240,"[""1 learners, rating 5.0, Vasil Prisadashki says ""Once you start, it is impossible to stop before reaching the end. Appetite grows with every bite""]"
"Data Modeller, Full Path Finisher",Data Science Basics (Data Preparation),Classroom - Databricks Part 1,"This hands-on trainer-led session is designed to showcase data cleansing using Python on real cch data either for preparing datasets for machine learning, or for learner's personal projects (e.g. going from manual data prep/data cleansing in Excel to using Python for this purpose) All non-classsroom sub_modules of data science basics are a prerequite for users to be eligible for the classroom",240,"[""1 learners, rating 5.0, Vasil Prisadashki says ""Once you start, it is impossible to stop before reaching the end. Appetite grows with every bite""]"
"Data Science Jump Starter, Full Path Finisher",Machine Learning,History of ML,"This presentation traces the historical roots of Machine Learning through early scientific attempts to model complex real‑world phenomena. The central example is the work of Roger Boscovich, an 18th‑century physicist and mathematician who attempted to measure Earth’s ellipticity. Because distances along meridians were difficult to measure accurately and available measurements were noisy, Boscovich and his collaborator Christopher Maire used multiple imperfect observations from expeditions across the world—Lapland, Cape Horn, Paris, Peru—and attempted to minimize the overall error between observations. data science jump starter path is good for people who are more advanced in data and analytics, know how to prepare data and are interested to start extracting insights OR people that want to move to data and alaytics role
The deck shows that they effectively computed what we today call residuals—the deviations of each measurement from the estimated mean—and then applied a method equivalent to minimizing the Mean Absolute Error (MAE) to find the best‑fitting parameters. This approach is presented as the conceptual ancestor of modern ML’s reliance on loss functions. The slides emphasize that, despite centuries of innovation since Boscovich, the heart of Machine Learning remains the same: define a loss function, compute error, and minimize it.
The module concludes with the message that the mathematical foundations developed centuries ago—particularly error minimization—remain the core engine of today’s ML and deep‑learning systems, from linear regression to neural networks.",14,"[""1 learners, rating 4.0, Oluseyi Adeosun says ""A Nice Overview. This has been an interesting curriculum, providing me with a better understanding of Data than I previously had. Looking forward to learning more.""]"
"Data Science Jump Starter, Full Path Finisher",Machine Learning,ML Models,"This presentation surveys the main ML task families—supervised, unsupervised and reinforcement learning—then concentrates on supervised learning because it delivers most near‑term business value. It frames model choice around the target variable and use‑case goal:

Regression when the target is continuous and we aim to predict/explain numeric outcomes.
Classification when the target is categorical and we assign items to classes.
Unsupervised learning covers clustering and anomaly detection, while reinforcement learning involves agents that optimize behavior via rewards. The deck includes concise quotes that distill the supervised paradigm as mapping “input to output” and notes that, although supervised learning currently drives most ROI, labeling cost and quality are real constraints. It encourages learners to consider “border cases” where the regression/classification line blurs and to ground model selection in the business question and available labels. The closing takeaway: supervised methods are powerful but data and labels are expensive; thus, task framing, careful dataset design, and pragmatic metric choices are as critical as algorithm selectiondata science jump starter path is good for people who are more advanced in data and analytics, know how to prepare data and are interested to start extracting insights OR people that want to move to data and alaytics role",17,"[""1 learners, rating 4.0, Oluseyi Adeosun says ""A Nice Overview. This has been an interesting curriculum, providing me with a better understanding of Data than I previously had. Looking forward to learning more.""]"
"Data Science Jump Starter, Full Path Finisher",Machine Learning,Supervised & Unsupervised Learning,"This presentation introduces the two primary categories of machine learning: supervised learning and unsupervised learning. Supervised learning is used when labeled examples are available. The deck walks through the supervised learning cycle: features are passed into a model, predictions are generated, results are compared to the known labels, a mathematical error (loss) is calculated and the model’s parameters are updated iteratively to reduce that error. This iterative loop continues until a suitable level of accuracy is reached.
Unsupervised learning, in contrast, operates without labels and is used for tasks such as clustering and anomaly detection. Instead of comparing predictions to true outputs, unsupervised models evaluate similarity structures within the data, grouping observations based on shared properties. The module shows how unsupervised models repeatedly transform input data using similarity measures to uncover patterns. The presentation highlights that supervised learning is more common in business contexts, but unsupervised learning is indispensable when labeled data is unavailable or costly to produce. Ultimately, this module lays a conceptual foundation for understanding how different ML approaches “learn” from data and why certain techniques are chosen depending on the problem context.data science jump starter path is good for people who are more advanced in data and analytics, know how to prepare data and are interested to start extracting insights OR people that want to move to data and alaytics role",14,"[""1 learners, rating 4.0, Oluseyi Adeosun says ""A Nice Overview. This has been an interesting curriculum, providing me with a better understanding of Data than I previously had. Looking forward to learning more.""]"
"Data Science Jump Starter, Full Path Finisher",Machine Learning,Measuring Success,"This module teaches how to evaluate machine‑learning models for both regression and classification tasks. For regression, the deck explains key error metrics such as Mean Absolute Error (MAE), Mean Squared Error (MSE) and Mean Absolute Percentage Error (MAPE), using examples that compare predicted vs. true product volumes for Coca‑Cola customers. For classification, the presentation introduces true positives, true negatives, false positives and false negatives, which form the basis for metrics such as precision, recall and accuracy. The slides emphasize that different business scenarios demand different evaluation priorities: for example, minimizing false negatives might matter most in fraud detection, while precision could be more important in marketing personalization. The module also contains suggestions for adjusting examples to make them relevant for Coca‑Cola HBC—such as replacing cat/dog classifiers with predictions about Coke Regular vs. Coke Zero preferences. It stresses that learners will need to compute these metrics in quizzes, reinforcing that mastering evaluation is crucial for selecting and deploying appropriate models. Overall, the deck highlights that understanding how success is measured is just as important as building the model itself.data science jump starter path is good for people who are more advanced in data and analytics, know how to prepare data and are interested to start extracting insights OR people that want to move to data and alaytics role",23,"[""1 learners, rating 4.0, Oluseyi Adeosun says ""A Nice Overview. This has been an interesting curriculum, providing me with a better understanding of Data than I previously had. Looking forward to learning more.""]"
"Data Science Jump Starter, Full Path Finisher",Machine Learning,Splitting Data,"This module explains how datasets should be divided into training, validation and test sets—an essential practice for building reliable ML models. The typical split proportions are outlined: 70–80% training, 10–15% validation, and 10–15% testing. Using the classic Iris dataset, the presentation illustrates how splitting must preserve class balance to avoid biased outcomes. The deck underscores that proper splitting prevents data leakage, ensures that hyperparameter tuning uses separate data from model evaluation, and allows realistic assessment of model performance. It also notes that different data types may require additional transformation steps before splitting. Emphasis is placed on why poor splitting—especially with small datasets—can cause a model to overfit or generalize poorly. The slides prompt learners to think about transforming non‑numeric features into numeric form and consider how their choices impact the downstream modeling pipeline. Overall, this module teaches that correct splitting is not merely procedural; it is a methodological safeguard ensuring the validity and reproducibility of machine‑learning results.data science jump starter path is good for people who are more advanced in data and analytics, know how to prepare data and are interested to start extracting insights OR people that want to move to data and alaytics role",23,"[""1 learners, rating 4.0, Oluseyi Adeosun says ""A Nice Overview. This has been an interesting curriculum, providing me with a better understanding of Data than I previously had. Looking forward to learning more.""]"
"Data Science Jump Starter, Full Path Finisher",Machine Learning,Linear Regression,"The deck walks through linear regression as a foundational supervised model and uses an error‑first lens to explain learning. It shows how a line (the model) is fit to data by minimizing a loss function, contrasting error before/after fitting and visualizing mean error reductions. Learners see multiple error formulations (e.g., MAE, MSE) and the idea that training chooses parameters that minimize average error across observations. Conceptually, the model establishes a simple functional mapping y=ax+by = ax + by=ax+b; the training objective is to pick a,ba,ba,b that minimize the chosen loss. The deck underscores that linear regression’s value is not just predictive: it is interpretable, provides baselines for more complex models, and sharpens understanding of over/under‑fit behavior. A key meta‑point is that loss minimization underpins most ML algorithms, so mastering this example pays dividends when progressing to generalized linear models, tree ensembles or neural networks. The material demystifies the math: practitioners need not derive gradients by hand—the computer handles optimization—yet they must understand what is being minimized and why to select metrics and judge model fit responsibly.data science jump starter path is good for people who are more advanced in data and analytics, know how to prepare data and are interested to start extracting insights OR people that want to move to data and alaytics role",17,"[""1 learners, rating 4.0, Oluseyi Adeosun says ""A Nice Overview. This has been an interesting curriculum, providing me with a better understanding of Data than I previously had. Looking forward to learning more.""]"
"Data Science Jump Starter, Full Path Finisher",Machine Learning,Decision Trees,"This presentation introduces decision trees as flowchart‑like models that learn if‑then rules from data. At each node, the algorithm selects the feature that produces the best split (i.e., the most “informative” partition), then recurses until a stopping rule (e.g., maximum depth) is reached. Trees are explained primarily in a classification context (they also support regression), with intuition built via 2‑D space partitions that assign rectangles to classes. A Coca‑Cola preference example illustrates how attributes such as BMI and age could influence targeted messaging (e.g., “classic enjoyment” vs. “low‑carb/healthy” themes), grounding the concept in a realistic marketing scenario. The deck discusses strengths—interpretability, ease of visualization, ability to capture non‑linear interactions—and pitfalls such as overfitting, instability to small data perturbations and bias toward features with many levels. It hints at remedies and extensions (e.g., pruning, constraints, ensembles like random forests/gradient boosting) and reiterates that decision trees remain powerful and often underrated when configured and validated correctly. The key message: trees provide transparent rules that stakeholders can understand, making them strong baselines and building blocks for more advanced ensemble methods.data science jump starter path is good for people who are more advanced in data and analytics, know how to prepare data and are interested to start extracting insights OR people that want to move to data and alaytics role",22,"[""1 learners, rating 4.0, Oluseyi Adeosun says ""A Nice Overview. This has been an interesting curriculum, providing me with a better understanding of Data than I previously had. Looking forward to learning more.""]"
"Data Science Jump Starter, Full Path Finisher",Machine Learning,Unsupervised Methods,"This presentation introduces unsupervised learning with an emphasis on k‑means clustering and anomaly detection. For k‑means, learners see the algorithmic loop: pick k (a hyperparameter), initialize centroids, assign points to nearest centroids (by a distance measure such as Euclidean), recompute centroids and repeat until convergence; because results can vary by initialization, runs are typically repeated multiple times. Examples span synthetic clusters (e.g., segments by income and years to retirement) and a well‑known product example where online services cluster content. The anomaly section revisits the difficulty of defining and labeling anomalies, noting that anomalies are rare and label quality is uncertain (echoing Module 1 themes). The deck’s closing view highlights representation learning gains in deep learning that reduce reliance on labels, particularly in natural language tasks, while acknowledging ongoing research to generalize these benefits. The message: unsupervised learning is indispensable when labels are scarce or ambiguous, but it requires careful choice of k, initialization strategy, distance metrics and repeat runs to yield robust segments; anomaly work needs domain checks and often hybrid approaches.data science jump starter path is good for people who are more advanced in data and analytics, know how to prepare data and are interested to start extracting insights OR people that want to move to data and alaytics role",21,"[""1 learners, rating 4.0, Oluseyi Adeosun says ""A Nice Overview. This has been an interesting curriculum, providing me with a better understanding of Data than I previously had. Looking forward to learning more.""]"
"Data Science Jump Starter, Full Path Finisher",Machine Learning,"Training, Testing and Validation","This deck formalizes the iterative modelling cycle: train → validate → test. Data is typically partitioned around 60–20–20; features, models and hyperparameters are explored through loops that automate combination trials. Training estimates parameters on the training set. Validation evaluates candidate models on unseen validation data to optimize hyperparameters and decide when to stop (early stopping) or which variant to select. Testing then assesses the chosen model under realistic, held‑out conditions to estimate generalization performance. The slides emphasize that validation is not a final score—it is part of model selection—and that leakage between these splits will inflate apparent accuracy while harming real‑world results. The takeaway is a disciplined mindset: design your splits to match deployment, iterate systematically, and only treat the test result as credible once all selection is frozen.data science jump starter path is good for people who are more advanced in data and analytics, know how to prepare data and are interested to start extracting insights OR people that want to move to data and alaytics role",29,"[""1 learners, rating 4.0, Oluseyi Adeosun says ""A Nice Overview. This has been an interesting curriculum, providing me with a better understanding of Data than I previously had. Looking forward to learning more.""]"
"Data Science Jump Starter, Full Path Finisher",Machine Learning,Forecasting,"Focusing on forecasting as structured regression, the deck explains why temporal order matters and why models must incorporate trend, seasonality and autocorrelation. It contrasts “normal” (i.i.d.) regression with time series, where training/validation splits and feature engineering must respect chronology. A spectrum of forecasting models is presented, from classical statistical approaches (AR, MA, ARIMA, VAR, exponential smoothing/Holt‑Winters) to tree‑based regressors, RNN variants (LSTM/GRU) and modern attention/transformer architectures. Model choice should reflect data complexity: simple patterns merit simple models, while multi‑seasonal, regime‑changing signals may justify higher‑capacity methods. The material ties the topic to CCHBC’s forecasting use cases, reminding that demand prediction often blends time‑series signals and exogenous drivers (promotions, price, weather), not just the univariate series. The overarching guidance: treat chronology carefully, align model complexity with pattern complexity, and validate with schemes that simulate future deployment (e.g., rolling origin evaluation).data science jump starter path is good for people who are more advanced in data and analytics, know how to prepare data and are interested to start extracting insights OR people that want to move to data and alaytics role",23,"[""1 learners, rating 4.0, Oluseyi Adeosun says ""A Nice Overview. This has been an interesting curriculum, providing me with a better understanding of Data than I previously had. Looking forward to learning more.""]"
"Data Science Jump Starter, Full Path Finisher",Machine Learning,Improving Methods,"This deck discusses recognizing and preventing overfitting, grounding the topic in bias–variance trade‑offs and learning curves. It explains that some error is irreducible; attempts to “learn” it will degrade test performance. Heuristics appear for data sufficiency (“it depends,” but more observations than parameters and more observations than features, often by wide margins). The content stresses that the process complexity and model complexity jointly determine data needs: simple processes can be modeled with fewer observations (e.g., linear regression), whereas deep networks demand thousands to millions. The presentation also illustrates the curse of complexity in categorical feature spaces (combinatorial category growth) and warns that models can only learn from the data they see—quality and relevance matter as much as quantity. Remedies implicit in the narrative include regularization, pruning/constraints, simpler architectures, feature selection, more data and better labels, and evaluation discipline with proper splits. The key takeaway: match model capacity to signal complexity, grow data and feature quality thoughtfully, and monitor learning dynamics to halt training before memorization.data science jump starter path is good for people who are more advanced in data and analytics, know how to prepare data and are interested to start extracting insights OR people that want to move to data and alaytics role",40,"[""1 learners, rating 4.0, Oluseyi Adeosun says ""A Nice Overview. This has been an interesting curriculum, providing me with a better understanding of Data than I previously had. Looking forward to learning more.""]"
"Data Science Jump Starter, Full Path Finisher",Machine Learning,Classroom - Databricks Part 2 & 3,"This hands-on trainer-led session is designed to showcase machine learning and data visualization using Python on real cch data with the goal to demistify the ML process and show the participants the full lifecycle of a data science project, including features selection, feature engineering, result visualization. All non-classsroom sub_modules of machine learning are a prerequite for users to be eligible for the classroom",240,"[""1 learners, rating 4.0, Oluseyi Adeosun says ""A Nice Overview. This has been an interesting curriculum, providing me with a better understanding of Data than I previously had. Looking forward to learning more.""]"
"Data Storyteller, Full Path Finisher",Data Visualization,Intro to Data Viz,"This module defines data visualization as the graphical representation of information to reveal patterns, trends and insights quickly and effectively. It emphasizes that, in a world of increasing data volumes, visualization is essential for enabling fast comprehension and supporting data‑driven decisions. The deck stresses the communication value of visuals, capturing the idea behind the saying “a picture is worth a thousand words”.
A core theme is choosing the right chart type: effective visualizations depend on selecting visuals that fit the context, question and message. The slides highlight that visualization is not only a technical exercise but a storytelling tool—even the most sophisticated analysis loses impact if not communicated clearly. Data visualization reduces the cognitive load on audiences by transforming raw data into digestible formats, aiding quicker insight extraction.
The presentation underscores the importance of aligning visualization with its target audience: understanding their needs, level of expertise and decisions they must make. By doing so, visuals become actionable. The module frames visualization as a key component of reporting and analytics, forming the bridge between complex analysis and human understanding. the data storyteller learning path is good for anyone that wants to start visualize data or insights and for people that want to use powerBI",5,"[""No detailed feedback""]"
"Data Storyteller, Full Path Finisher",Data Visualization,Tools & Methods,"This presentation compares GUI‑based tools (e.g., Power BI, Tableau, QlikView) and programming‑based tools (Python libraries like Matplotlib, Seaborn; R libraries like ggplot2; D3.js). GUI tools are easy to learn, support rapid prototyping and enable self‑service analytics, but may offer limited deep‑analysis capability or customization. Code‑based tools allow full flexibility, bespoke visuals and advanced analytics workflows but require programming skills.
A substantial section explains Power BI, describing it as Microsoft’s unified data‑visualization platform merging Power Pivot, Power Query and Power View. It supports interactive dashboards, distribution across the organization, and integration with R, Python and SQL for modeling. Constraints include data‑point limits in certain visuals.
The deck encourages choosing tools based on use case, audience, required customizability and ecosystem fit rather than personal preference.
Overall, the message is that visualization tools are part of a broader analytics workflow—they must support clarity of communication, consistency, accessibility and alignment with enterprise data practices.the data storyteller learning path is good for anyone that wants to start visualize data or insights and for people that want to use powerBI",5,"[""No detailed feedback""]"
"Data Storyteller, Full Path Finisher",Data Visualization,Data Viz Standards,"This deck provides a practical classification of visualization methods, linking each to its communication purpose:

Comparing categories: Bar charts are used to compare absolute and relative values across categories.
Part‑to‑whole relationships: Pie charts help reveal proportions or hierarchies.
Changes over time: Line charts show temporal trends and evolving patterns.
Relationships and distributions: Scatter plots are used to assess correlations or explore multivariate patterns.
Geospatial insights: Choropleth maps visualize spatial patterns across regions.

The deck stresses that chart selection must follow the message, not the other way around. The same dataset may require different visual treatments depending on the question: understanding in‑category differences vs. spotting patterns vs. tracking change.
It highlights that inappropriate visualization choices can obscure insights or mislead audiences. Best‑practice visualization focuses on clarity, context, simplicity and intentional communication.the data storyteller learning path is good for anyone that wants to start visualize data or insights and for people that want to use powerBI",7,"[""No detailed feedback""]"
"Data Storyteller, Full Path Finisher",Data Visualization,Dashboard Design Matrix,"This module covers the architectural principles of dashboard design, focusing on data understanding, content structuring, and information hierarchy.
It begins by emphasizing the importance of data preparation—cleaning, joining, transforming and profiling data—as a foundation for dashboard success. Reliable dashboards depend on accurate, well‑prepared datasets.
Next, the deck discusses how to structure dashboards for intuitive navigation. Two design strategies are introduced:

Horizontal navigation: Suited for homogeneous user groups, allowing fast access through tabs or sections.
Vertical (“top‑down”) navigation: Ideal for heterogeneous audiences, beginning with high‑level summaries and allowing users to drill into relevant sub‑views.

A key rule of thumb is avoiding information overload, such as limiting screens to roughly four charts.
The deck also introduces information hierarchy, starting with an “easy entry” view, followed by progressive disclosure—detail only appears when needed. This approach maintains clarity while enabling depth through drill‑downs and interactions.the data storyteller learning path is good for anyone that wants to start visualize data or insights and for people that want to use powerBI",11,"[""No detailed feedback""]"
